cod_scuola,anno_corso,scuola,regione,nazionale
AGPS05000E,5,0.0,0.2,0.1
AGPS060005,1,0.0,1.1,0.3
AGPS060005,2,0.0,0.4,0.1
AGPS060005,3,0.0,0.4,0.2
AGPS060005,4,0.0,0.3,0.1
AGPS060005,5,0.0,0.2,0.1
AGPS08000A,1,37.5,1.1,0.3
AGPS08000A,2,8.7,0.4,0.1
AGPS08000A,3,34.1,0.4,0.2
AGPS08000A,4,18.2,0.3,0.1
AGPS08000A,5,0.0,0.2,0.1
AGRA00301G,1,0.0,6.2,3.1
AGRA00301G,2,0.0,3.3,1.8
AGRA00301G,3,0.0,2.7,1.4
AGRA00301G,4,0.0,3.0,2.4
AGRA00301G,5,0.0,1.3,0.7
AGRC01000L,1,25.7,6.2,3.1
AGRC01000L,2,8.8,3.3,1.8
AGRC01000L,3,9.3,2.7,1.4
AGRC01000L,4,8.6,3.0,2.4
AGRC01000L,5,0.0,1.3,0.7
AGRC01001N,1,15.4,6.2,3.1
AGRC01001N,2,11.1,3.3,1.8
AGRC01001N,3,9.1,2.7,1.4
AGRC01001N,4,0.0,3.0,2.4
AGRC01001N,5,0.0,1.3,0.7
AGRC01005T,1,16.1,6.2,3.1
AGRC01005T,2,10.6,3.3,1.8
AGRC01005T,3,4.1,2.7,1.4
AGRC01005T,4,0.0,3.0,2.4
AGRC01005T,5,0.0,1.3,0.7
AGRC01601L,1,0.0,6.2,3.1
AGRC01601L,2,0.0,3.3,1.8
AGRC01601L,3,0.0,2.7,1.4
AGRC01601L,4,0.0,3.0,2.4
AGRC01601L,5,,1.3,0.7
AGRC01602N,1,0.0,6.2,3.1
AGRC01602N,2,0.0,3.3,1.8
AGRC01602N,3,0.0,2.7,1.4
AGRC01602N,4,0.0,3.0,2.4
AGRC01602N,5,0.0,1.3,0.7
AGRH01201E,1,0.0,6.2,3.1
AGRH01201E,2,0.0,3.3,1.8
AGRH01201E,3,0.0,2.7,1.4
AGRH01201E,4,0.0,3.0,2.4
AGRH01201E,5,0.0,1.3,0.7
AGRH01301A,1,20.1,6.2,3.1
AGRH01301A,2,12.0,3.3,1.8
AGRH01301A,3,10.3,2.7,1.4
AGRH01301A,4,0.0,3.0,2.4
AGRH01301A,5,4.5,1.3,0.7
AGRH02000C,1,0.0,6.2,3.1
AGRH02000C,2,0.0,3.3,1.8
AGRH02000C,3,0.0,2.7,1.4
AGRH02000C,4,0.0,3.0,2.4
AGRH02000C,5,0.0,1.3,0.7
AGRH02001D,5,,,
AGRI00601P,1,0.0,6.2,3.1
AGRI00601P,2,0.0,3.3,1.8
AGRI00601P,3,0.0,2.7,1.4
AGRI00601P,4,0.0,3.0,2.4
